C, gamma, Validation Accuracy
0.1,0.5,40.667
0.1,0.6,40.667
0.1,0.7,40.667
0.1,0.8,40.667
0.1,0.9,40.667
0.1,1.0,40.667
0.2,0.5,40.667
0.2,0.6,40.667
0.2,0.7,40.667
0.2,0.8,40.667
0.2,0.9,40.667
0.2,1.0,40.667
0.3,0.5,40.667
0.3,0.6,40.667
0.3,0.7,40.667
0.3,0.8,40.667
0.3,0.9,40.667
0.3,1.0,40.667
0.4,0.5,40.667
0.4,0.6,40.667
0.4,0.7,40.667
0.4,0.8,40.667
0.4,0.9,40.667
0.4,1.0,40.667
0.5,0.5,40.667
0.5,0.6,40.667
0.5,0.7,40.667
0.5,0.8,40.667
0.5,0.9,40.667
0.5,1.0,40.667
0.6,0.5,41.333
0.6,0.6,40.667
0.6,0.7,40.667
0.6,0.8,40.667
0.6,0.9,40.667
0.6,1.0,40.667
0.7,0.5,42.667
0.7,0.6,42.0
0.7,0.7,40.667
0.7,0.8,40.667
0.7,0.9,40.667
0.7,1.0,40.667
0.8,0.5,43.333
0.8,0.6,40.0
0.8,0.7,42.667
0.8,0.8,42.0
0.8,0.9,42.0
0.8,1.0,40.667
0.9,0.5,41.333
0.9,0.6,43.333
0.9,0.7,40.667
0.9,0.8,40.0
0.9,0.9,40.667
0.9,1.0,42.0
1.0,0.5,47.333
1.0,0.6,43.333
1.0,0.7,40.667
1.0,0.8,40.667
1.0,0.9,40.0
1.0,1.0,40.0
