Labels,Case-1_Image,Case-1_Mask,Case-1_diagnostics_Versions_PyRadiomics,Case-1_diagnostics_Versions_Numpy,Case-1_diagnostics_Versions_SimpleITK,Case-1_diagnostics_Versions_PyWavelet,Case-1_diagnostics_Versions_Python,Case-1_diagnostics_Configuration_Settings,Case-1_diagnostics_Configuration_EnabledImageTypes,Case-1_diagnostics_Image-original_Hash,Case-1_diagnostics_Image-original_Spacing,Case-1_diagnostics_Image-original_Size,Case-1_diagnostics_Image-original_Mean,Case-1_diagnostics_Image-original_Minimum,Case-1_diagnostics_Image-original_Maximum,Case-1_diagnostics_Mask-original_Hash,Case-1_diagnostics_Mask-original_Spacing,Case-1_diagnostics_Mask-original_Size,Case-1_diagnostics_Mask-original_BoundingBox,Case-1_diagnostics_Mask-original_VoxelNum,Case-1_diagnostics_Mask-original_VolumeNum,Case-1_diagnostics_Mask-original_CenterOfMassIndex,Case-1_diagnostics_Mask-original_CenterOfMass,Case-1_original_shape_VoxelVolume,Case-1_original_shape_Maximum3DDiameter,Case-1_original_shape_MeshVolume,Case-1_original_shape_MajorAxisLength,Case-1_original_shape_Sphericity,Case-1_original_shape_LeastAxisLength,Case-1_original_shape_Elongation,Case-1_original_shape_SurfaceVolumeRatio,Case-1_original_shape_Maximum2DDiameterSlice,Case-1_original_shape_Flatness,Case-1_original_shape_SurfaceArea,Case-1_original_shape_MinorAxisLength,Case-1_original_shape_Maximum2DDiameterColumn,Case-1_original_shape_Maximum2DDiameterRow,Case-1_original_gldm_GrayLevelVariance,Case-1_original_gldm_HighGrayLevelEmphasis,Case-1_original_gldm_DependenceEntropy,Case-1_original_gldm_DependenceNonUniformity,Case-1_original_gldm_GrayLevelNonUniformity,Case-1_original_gldm_SmallDependenceEmphasis,Case-1_original_gldm_SmallDependenceHighGrayLevelEmphasis,Case-1_original_gldm_DependenceNonUniformityNormalized,Case-1_original_gldm_LargeDependenceEmphasis,Case-1_original_gldm_LargeDependenceLowGrayLevelEmphasis,Case-1_original_gldm_DependenceVariance,Case-1_original_gldm_LargeDependenceHighGrayLevelEmphasis,Case-1_original_gldm_SmallDependenceLowGrayLevelEmphasis,Case-1_original_gldm_LowGrayLevelEmphasis,Case-1_original_glcm_JointAverage,Case-1_original_glcm_SumAverage,Case-1_original_glcm_JointEntropy,Case-1_original_glcm_ClusterShade,Case-1_original_glcm_MaximumProbability,Case-1_original_glcm_Idmn,Case-1_original_glcm_JointEnergy,Case-1_original_glcm_Contrast,Case-1_original_glcm_DifferenceEntropy,Case-1_original_glcm_InverseVariance,Case-1_original_glcm_DifferenceVariance,Case-1_original_glcm_Idn,Case-1_original_glcm_Idm,Case-1_original_glcm_Correlation,Case-1_original_glcm_Autocorrelation,Case-1_original_glcm_SumEntropy,Case-1_original_glcm_MCC,Case-1_original_glcm_SumSquares,Case-1_original_glcm_ClusterProminence,Case-1_original_glcm_Imc2,Case-1_original_glcm_Imc1,Case-1_original_glcm_DifferenceAverage,Case-1_original_glcm_Id,Case-1_original_glcm_ClusterTendency,Case-1_original_firstorder_InterquartileRange,Case-1_original_firstorder_Skewness,Case-1_original_firstorder_Uniformity,Case-1_original_firstorder_Median,Case-1_original_firstorder_Energy,Case-1_original_firstorder_RobustMeanAbsoluteDeviation,Case-1_original_firstorder_MeanAbsoluteDeviation,Case-1_original_firstorder_TotalEnergy,Case-1_original_firstorder_Maximum,Case-1_original_firstorder_RootMeanSquared,Case-1_original_firstorder_90Percentile,Case-1_original_firstorder_Minimum,Case-1_original_firstorder_Entropy,Case-1_original_firstorder_Range,Case-1_original_firstorder_Variance,Case-1_original_firstorder_10Percentile,Case-1_original_firstorder_Kurtosis,Case-1_original_firstorder_Mean,Case-1_original_glrlm_ShortRunLowGrayLevelEmphasis,Case-1_original_glrlm_GrayLevelVariance,Case-1_original_glrlm_LowGrayLevelRunEmphasis,Case-1_original_glrlm_GrayLevelNonUniformityNormalized,Case-1_original_glrlm_RunVariance,Case-1_original_glrlm_GrayLevelNonUniformity,Case-1_original_glrlm_LongRunEmphasis,Case-1_original_glrlm_ShortRunHighGrayLevelEmphasis,Case-1_original_glrlm_RunLengthNonUniformity,Case-1_original_glrlm_ShortRunEmphasis,Case-1_original_glrlm_LongRunHighGrayLevelEmphasis,Case-1_original_glrlm_RunPercentage,Case-1_original_glrlm_LongRunLowGrayLevelEmphasis,Case-1_original_glrlm_RunEntropy,Case-1_original_glrlm_HighGrayLevelRunEmphasis,Case-1_original_glrlm_RunLengthNonUniformityNormalized,Case-1_original_glszm_GrayLevelVariance,Case-1_original_glszm_ZoneVariance,Case-1_original_glszm_GrayLevelNonUniformityNormalized,Case-1_original_glszm_SizeZoneNonUniformityNormalized,Case-1_original_glszm_SizeZoneNonUniformity,Case-1_original_glszm_GrayLevelNonUniformity,Case-1_original_glszm_LargeAreaEmphasis,Case-1_original_glszm_SmallAreaHighGrayLevelEmphasis,Case-1_original_glszm_ZonePercentage,Case-1_original_glszm_LargeAreaLowGrayLevelEmphasis,Case-1_original_glszm_LargeAreaHighGrayLevelEmphasis,Case-1_original_glszm_HighGrayLevelZoneEmphasis,Case-1_original_glszm_SmallAreaEmphasis,Case-1_original_glszm_LowGrayLevelZoneEmphasis,Case-1_original_glszm_ZoneEntropy,Case-1_original_glszm_SmallAreaLowGrayLevelEmphasis,Case-1_original_ngtdm_Coarseness,Case-1_original_ngtdm_Complexity,Case-1_original_ngtdm_Strength,Case-1_original_ngtdm_Contrast,Case-1_original_ngtdm_Busyness
1, /home/rajarshi/Desktop/jsrt_scr/img_nrrd/img_jsrt_1_122.nrrd, /home/rajarshi/Desktop/jsrt_scr/msk_nrrd/msk_jsrt_1_122.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12," {'distances': [1], 'additionalInfo': True, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'minimumROIDimensions': 2, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}", {'Original': {}}, af19f2433d3cfcf408f9ef1017f07b13b414f1d9," (1.0, 1.0, 1.0)"," (512, 512, 1)",0.006782531738281,0,1, f87e6a0809debf070a75f493bac94e149b24d7b7," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (104, 144, 0, 408, 312, 1)",98808,1," (327.46720913286373, 312.9925512104283, 0.0)"," (327.46720913286373, 312.9925512104283, 0.0)",98808,481.149664865,98408.4166667,454.552264934978,0.051980893429,0,0.631617006812735,2.01509860942,481.149664865,0,198302.66358,287.10294101818,408,282,0,1,0.13906956302141,95527.6886689337,98808,0.012609708100056,0.012609708100056,0.966801156474513,80.266193020808,80.266193020808,0.147315372161433,80.266193020808,0.012609708100056,1,1,2,-3.2E-16,0,1,1,1,0,-3.2E-16,0,0,1,1,1,1,-3.2E-16,1,0,0,0,0,0,1,0,0,9.70395496243297,1,0,1017,0,0.020373498814639,1017,1,0.101452889811504,0,0,0,1,0.01018674940732,0,95.1667419129273,0.010292688851105,0.0546275857578,0,1,1,12101.8778751604,606.25,50693.7574048974,0.0546275857578,25.7308637304517,0.0546275857578,50693.7574048974,0.006135636790543,50693.7574048974,5.62818285773185,1,0.048416209592754,0,0,1,1,1,1,9763020864,1.02E-10,1.01E-05,9763020864,9763020864,1,1.02E-10,1,-3.2E-16,1.02E-10,1000000,0,0,0,0
0, /home/rajarshi/Desktop/jsrt_scr/img_nrrd/img_jsrt_0_32.nrrd, /home/rajarshi/Desktop/jsrt_scr/msk_nrrd/msk_jsrt_0_32.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12," {'distances': [1], 'additionalInfo': True, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'minimumROIDimensions': 2, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}", {'Original': {}}, bde9622cea682f228f98c321bb7601cdc8fac944," (1.0, 1.0, 1.0)"," (512, 512, 1)",0.005928039550781,0,1, b089dae75dcc53097f2d0480b5ab46cfe2a44ba1," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (104, 109, 0, 408, 347, 1)",110272,1," (325.7837347649449, 294.6909460243761, 0.0)"," (325.7837347649449, 294.6909460243761, 0.0)",110272,507.294786096,109853.916667,470.133237851033,0.0501330389671,0,0.659278255294922,2.0141334608,507.294786096,0,221260.449358,309.948620806581,408,309,0,1,0.131122116480593,106842.924894806,110272,0.012593431491735,0.012593431491735,0.96890348315806,80.311955890888,80.311955890888,0.138406335621658,80.311955890888,0.012593431491735,1,1,2,-3.20342650381492E-16,0,1,1,1,0,-3.20342650381492E-16,0,0,1,1,1,1,-3.20342650381492E-16,1,0,0,0,0,0,1,0,0,11.2107066941723,1,0,857,0,0.015422585245814,857,1,0.088157199459823,0,0,0,1,0.007711292622907,0,126.679944582761,0.007771691816599,0.054190107090322,0,1,1,12992.7056003656,634.5,55727.8847431765,0.054190107090322,28.2101125548575,0.054190107090322,55727.8847431765,0.005753953859547,55727.8847431765,5.69099153086223,1,0.0521579754774,0,0,1,1,1,1,12159913984,8.22374238268296E-11,9.06848520023215E-06,12159913984,12159913984,1,8.22374238268296E-11,1,-3.20342650381492E-16,8.22374238268296E-11,1000000,0,0,0,0
0, /home/rajarshi/Desktop/jsrt_scr/img_nrrd/img_jsrt_0_58.nrrd, /home/rajarshi/Desktop/jsrt_scr/msk_nrrd/msk_jsrt_0_58.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12," {'distances': [1], 'additionalInfo': True, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'minimumROIDimensions': 2, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}", {'Original': {}}, 232d36e04d006cf02afc83acd37ab1d815b3a65a," (1.0, 1.0, 1.0)"," (512, 512, 1)",0.008922576904297,0,1, 366b431ad2f7a0f139d48d8bd2bbf9a35175e9b7," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (69, 128, 0, 443, 315, 1)",111664,1," (307.0660553087835, 291.7457372116349, 0.0)"," (307.0660553087835, 291.7457372116349, 0.0)",111664,505.759824423,111223.666667,489.147324391236,0.0499110221147,0,0.609813250272412,2.01475352676,505.759824423,0,224088.274676,298.288519749074,443,287,0,1,0.137066722541067,108039.109757845,111664,0.012602919516477,0.012602919516477,0.967537521115534,80.2843888809285,80.2843888809285,0.143539973491391,80.2843888809285,0.012602919516477,1,1,2,-3.20342650381492E-16,0,1,1,1,0,-3.20342650381492E-16,0,0,1,1,1,1,-3.20342650381492E-16,1,0,0,0,0,0,1,0,0,9.03359850688854,1,0,1320,0,0.023362875148279,1320,1,0.108725240028118,0,0,0,1,0.011681437574139,0,82.6059019836588,0.011821177819172,0.062564519149147,0,1,1,14382.4242197121,668,56189.9678623637,0.062564519149147,35.907239923797,0.062564519149147,56189.9678623637,0.00598223241152,56189.9678623637,5.41286706563394,1,0.058720227088919,0,0,1,1,1,1,12468848896,8.01998651471989E-11,8.95543774179682E-06,12468848896,12468848896,1,8.01998651471989E-11,1,-3.20342650381492E-16,8.01998651471989E-11,1000000,0,0,0,0
0, /home/rajarshi/Desktop/jsrt_scr/img_nrrd/img_jsrt_0_62.nrrd, /home/rajarshi/Desktop/jsrt_scr/msk_nrrd/msk_jsrt_0_62.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12," {'distances': [1], 'additionalInfo': True, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'minimumROIDimensions': 2, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}", {'Original': {}}, c5b0f1440ca2552997051f3365deb1f27e6cfcfb," (1.0, 1.0, 1.0)"," (512, 512, 1)",0.009296417236328,0,1, 88ae4ad5019f3c8d96fdc396d42bfbb7c34b8915," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (72, 144, 0, 440, 325, 1)",117328,1," (309.8606641210964, 313.4758966316651, 0.0)"," (309.8606641210964, 313.4758966316651, 0.0)",117328,512.000976562,116890.583333,483.483783995702,0.0491115212263,0,0.653736970444448,2.01391388382,512.000976562,0,235407.568663,316.071224208368,440,308,0,1,0.129665648247049,113743.958526524,117328,0.012587940662262,0.012587940662262,0.969452803478487,80.3248159007228,80.3248159007228,0.135575194023423,80.3248159007228,0.012587940662262,1,1,2,-3.20342650381492E-16,0,1,1,1,0,-3.20342650381492E-16,0,0,1,1,1,1,-3.20342650381492E-16,1,0,0,0,0,0,1,0,0,10.2153964972615,1,0,1093,0,0.018457961774892,1093,1,0.096518207364855,0,0,0,1,0.009228980887446,0,105.354325596263,0.009315764352925,0.058358124018733,0,1,1,14119.8099341058,662.25,60890.0911942739,0.058358124018733,28.7373780958099,0.058358124018733,60890.0911942739,0.005644432701486,60890.0911942739,5.61674568308079,1,0.047286652615326,0,0,1,1,1,1,13765859584,7.26434839682874E-11,8.52311468703123E-06,13765859584,13765859584,1,7.26434839682874E-11,1,-3.20342650381492E-16,7.26434839682874E-11,1000000,0,0,0,0
1, /home/rajarshi/Desktop/jsrt_scr/img_nrrd/img_jsrt_1_132.nrrd, /home/rajarshi/Desktop/jsrt_scr/msk_nrrd/msk_jsrt_1_132.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12," {'distances': [1], 'additionalInfo': True, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'minimumROIDimensions': 2, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}", {'Original': {}}, 9bb50ae74fea4231238ea50312afbb9a73dc0e75," (1.0, 1.0, 1.0)"," (512, 512, 1)",0.007129669189453,0,1, c0c3127408d6a9ee565b9d1ee521f162bc0f828a," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (96, 152, 0, 416, 312, 1)",108192,1," (318.5078379177758, 312.5899142265602, 0.0)"," (318.5078379177758, 312.5899142265602, 0.0)",108192,487.689450368,107780.416667,459.375094718953,0.0504510008279,0,0.666505558990474,2.01419286123,487.689450368,0,217090.545831,306.176054291958,416,298,0,1,0.131805885813702,104814.29952307,108192,0.012593654156897,0.012593654156897,0.968780496922786,80.3098750369713,80.3098750369713,0.138600668697935,80.3098750369713,0.012593654156897,1,1,2,-3.2E-16,0,1,1,1,0,-3.2E-16,0,0,1,1,1,1,-3.2E-16,1,0,0,0,0,0,1,0,0,10.1733803974218,1,0,1016,0,0.018605054639682,1016,1,0.096905690270809,0,0,0,1,0.009302527319841,0,104.497668710647,0.009390712806862,0.057506523977653,0,1,1,12802.26604296,624.25,56660.6310090489,0.057506523977653,28.4639710767552,0.057506523977653,56660.6310090489,0.005769835107956,56660.6310090489,5.54632459075921,1,0.05082910260512,0,0,1,1,1,1,11705508864,8.54E-11,9.24E-06,11705508864,11705508864,1,8.54E-11,1,-3.2E-16,8.54E-11,1000000,0,0,0,0
1, /home/rajarshi/Desktop/jsrt_scr/img_nrrd/img_jsrt_1_114.nrrd, /home/rajarshi/Desktop/jsrt_scr/msk_nrrd/msk_jsrt_1_114.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12," {'distances': [1], 'additionalInfo': True, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'minimumROIDimensions': 2, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}", {'Original': {}}, 6a521e1d2a632c26e53b83d2cc4b0edecfc1e68c," (1.0, 1.0, 1.0)"," (512, 512, 1)",0,0,0, a1bf30874c083064b40ee83764c6dca742708a0a," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (80, 91, 0, 432, 365, 1)",126072,1," (317.6766926835459, 283.63262262833933, 0.0)"," (317.6766926835459, 283.63262262833933, 0.0)",126072,516.062011778,125593.583333,473.753179728529,0.0479431526613,0,0.738719998883863,2.0141959491,516.062011778,0,252970.086783,349.970948400286,432,338,0,1,0.133490621003281,122129.014927978,126072,0.012594177177793,0.012594177177793,0.968724339488369,80.3116790405483,80.3116790405483,0.138513040145377,80.3116790405483,0.012594177177793,1,1,2,-3.2E-16,0,1,1,1,0,-3.2E-16,0,0,1,1,1,1,-3.2E-16,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071752067868914,0,1,1,17767.6630886272,725.75,59787.5708896564,0.071752067868914,39.1169943896305,0.071752067868914,59787.5708896564,0.005756631131417,59787.5708896564,5.56816520776598,1,0.058539527889427,0,0,1,1,1,1,15894149184,6.29E-11,7.93E-06,15894149184,15894149184,1,6.29E-11,1,-3.2E-16,6.29E-11,1000000,0,0,0,0
0, /home/rajarshi/Desktop/jsrt_scr/img_nrrd/img_jsrt_0_10.nrrd, /home/rajarshi/Desktop/jsrt_scr/msk_nrrd/msk_jsrt_0_10.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12," {'distances': [1], 'additionalInfo': True, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'minimumROIDimensions': 2, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}", {'Original': {}}, dc7101bfbd746d5fc88c535a15812f26b01e2d2a," (1.0, 1.0, 1.0)"," (512, 512, 1)",0.000720977783203,0,1, 599e03c491dbf7f621d0093197ee15cf7fc26d98," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (160, 128, 0, 352, 328, 1)",92880,1," (352.20340223944874, 301.34138673557277, 0.0)"," (352.20340223944874, 301.34138673557277, 0.0)",92880,441.145100846,92470.9166667,392.84276203707,0.0530320071111,0,0.79018729277221,2.01655933875,441.145100846,0,186473.090567,310.41935861923,352,303,0,1,0.153567115085277,89488.3804694229,92880,0.012634490943174,0.012634490943174,0.963483855183278,80.1999354005168,80.1999354005168,0.160250385130137,80.1999354005168,0.012634490943174,1,1,2,-3.20342650381492E-16,0,1,1,1,0,-3.20342650381492E-16,0,0,1,1,1,1,-3.20342650381492E-16,1,0,0,0,0,0,1,0,0,215.492459314784,1,0,2,0,4.30653947820384E-05,2,1,0.004640383719914,0,0,0,1,2.15326973910192E-05,0,46438.0000215336,2.15331610680448E-05,0.072272053659388,0,1,1,13294.5594160983,621.25,43265.7977494476,0.072272053659388,35.2157112011738,0.072272053659388,43265.7977494476,0.006688738156761,43265.7977494476,5.39994131150958,1,0.064704512989768,0,0,1,1,1,1,8626694400,1.1591925639559E-10,1.07665805340224E-05,8626694400,8626694400,1,1.1591925639559E-10,1,-3.20342650381492E-16,1.1591925639559E-10,1000000,0,0,0,0
1, /home/rajarshi/Desktop/jsrt_scr/img_nrrd/img_jsrt_1_2.nrrd, /home/rajarshi/Desktop/jsrt_scr/msk_nrrd/msk_jsrt_1_2.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12," {'distances': [1], 'additionalInfo': True, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'minimumROIDimensions': 2, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}", {'Original': {}}, ea79faa8794b8f6a403289d51fe0512ab123796c," (1.0, 1.0, 1.0)"," (512, 512, 1)",0.004409790039063,0,1, da99715124a411de8002e7cfc4c2ec53fb8ecaf2," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (53, 168, 0, 459, 288, 1)",96520,1," (295.323870700373, 310.77364276833816, 0.0)"," (295.323870700373, 310.77364276833816, 0.0)",96520,514.836867367,96096.1666667,499.340930827088,0.052359399117,0,0.49863058878582,2.01644996128,514.836867367,0,193773.111554,248.98666234317,456,258,0,1,0.151678148896709,93018.3814338997,96520,0.012634640460956,0.012634640460956,0.963721316140693,80.2020099461252,80.2020099461252,0.160327241720965,80.2020099461252,0.012634640460956,1,1,2,-3.2E-16,0,1,1,1,0,-3.2E-16,0,0,1,1,1,1,-3.2E-16,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061963201135403,0,1,1,11780.7629196104,644.25,48230.2686228052,0.061963201135403,31.4792841920034,0.061963201135403,48230.2686228052,0.006674782428512,48230.2686228052,5.37855834214712,1,0.049834011899432,0,0,1,1,1,1,9316110400,1.07E-10,1.04E-05,9316110400,9316110400,1,1.07E-10,1,-3.2E-16,1.07E-10,1000000,0,0,0,0
0, /home/rajarshi/Desktop/jsrt_scr/img_nrrd/img_jsrt_0_28.nrrd, /home/rajarshi/Desktop/jsrt_scr/msk_nrrd/msk_jsrt_0_28.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12," {'distances': [1], 'additionalInfo': True, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'minimumROIDimensions': 2, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}", {'Original': {}}, 6a521e1d2a632c26e53b83d2cc4b0edecfc1e68c," (1.0, 1.0, 1.0)"," (512, 512, 1)",0,0,0, ed71b026bba48911efdc930915e513230f45aa7a," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (88, 160, 0, 424, 307, 1)",95624,1," (317.8846314732703, 322.7391868150255, 0.0)"," (317.8846314732703, 322.7391868150255, 0.0)",95624,489.800979991,95207.9166667,474.952456499897,0.0525250950034,0,0.556919565853476,2.01632061564,489.800979991,0,191969.685147,264.510315874965,424,256,0,1,0.150671263360177,92184.8719777462,95624,0.012632101894091,0.012632101894091,0.964034886406615,80.2092361750188,80.2092361750188,0.158916664588498,80.2092361750188,0.012632101894091,1,1,2,-3.20342650381492E-16,0,1,1,1,0,-3.20342650381492E-16,0,0,1,1,1,1,-3.20342650381492E-16,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062608432849636,0,1,1,12509.2290663081,632.5,46379.0276117949,0.062608432849636,34.2432767786538,0.062608432849636,46379.0276117949,0.006614448255668,46379.0276117949,5.40358606790889,1,0.059229809056432,0,0,1,1,1,1,9143949376,1.09361935295124E-10,1.04576257006609E-05,9143949376,9143949376,1,1.09361935295124E-10,1,-3.20342650381492E-16,1.09361935295124E-10,1000000,0,0,0,0
1, /home/rajarshi/Desktop/jsrt_scr/img_nrrd/img_jsrt_1_142.nrrd, /home/rajarshi/Desktop/jsrt_scr/msk_nrrd/msk_jsrt_1_142.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12," {'distances': [1], 'additionalInfo': True, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'minimumROIDimensions': 2, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}", {'Original': {}}, 38011faebfe27f16f28362e45116dada44162069," (1.0, 1.0, 1.0)"," (512, 512, 1)",0.007755279541016,0,1, 747f8cde6e40b43badd3cfa651ecbb24811b2e9f," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (64, 141, 0, 448, 331, 1)",116048,1," (312.8223838411692, 321.6634151385634, 0.0)"," (312.8223838411692, 321.6634151385634, 0.0)",116048,521,115609.916667,497.523319351935,0.0492879778647,0,0.620728056540772,2.01408638814,521,0,232848.359492,308.82668310504,448,312,0,1,0.131203903498723,112448.862212188,116048,0.012592553609008,0.012592553609008,0.968985783573935,80.3147663035985,80.3147663035985,0.137840503163812,80.3147663035985,0.012592553609008,1,1,2,-3.2E-16,0,1,1,1,0,-3.2E-16,0,0,1,1,1,1,-3.2E-16,1,0,0,0,0,0,1,0,0,9.63118523854189,1,0,1212,0,0.020669756091932,1212,1,0.102195666375036,0,0,0,1,0.010334878045966,0,93.7597290991072,0.010443954225838,0.057318377122017,0,1,1,13469.8062600038,665,60262.2297789365,0.057318377122017,30.1771962601225,0.057318377122017,60262.2297789365,0.005730387425893,60262.2297789365,5.65848151438871,1,0.049790253414282,0,0,1,1,1,1,13467138304,7.43E-11,8.62E-06,13467138304,13467138304,1,7.43E-11,1,-3.2E-16,7.43E-11,1000000,0,0,0,0
