Labels,Case-1_Image,Case-1_Mask,Case-1_diagnostics_Versions_PyRadiomics,Case-1_diagnostics_Versions_Numpy,Case-1_diagnostics_Versions_SimpleITK,Case-1_diagnostics_Versions_PyWavelet,Case-1_diagnostics_Versions_Python,Case-1_diagnostics_Configuration_Settings,Case-1_diagnostics_Configuration_EnabledImageTypes,Case-1_diagnostics_Image-original_Hash,Case-1_diagnostics_Image-original_Spacing,Case-1_diagnostics_Image-original_Size,Case-1_diagnostics_Image-original_Mean,Case-1_diagnostics_Image-original_Minimum,Case-1_diagnostics_Image-original_Maximum,Case-1_diagnostics_Mask-original_Hash,Case-1_diagnostics_Mask-original_Spacing,Case-1_diagnostics_Mask-original_Size,Case-1_diagnostics_Mask-original_BoundingBox,Case-1_diagnostics_Mask-original_VoxelNum,Case-1_diagnostics_Mask-original_VolumeNum,Case-1_diagnostics_Mask-original_CenterOfMassIndex,Case-1_diagnostics_Mask-original_CenterOfMass,Case-1_original_shape_VoxelVolume,Case-1_original_shape_Maximum3DDiameter,Case-1_original_shape_MeshVolume,Case-1_original_shape_MajorAxisLength,Case-1_original_shape_Sphericity,Case-1_original_shape_LeastAxisLength,Case-1_original_shape_Elongation,Case-1_original_shape_SurfaceVolumeRatio,Case-1_original_shape_Maximum2DDiameterSlice,Case-1_original_shape_Flatness,Case-1_original_shape_SurfaceArea,Case-1_original_shape_MinorAxisLength,Case-1_original_shape_Maximum2DDiameterColumn,Case-1_original_shape_Maximum2DDiameterRow,Case-1_original_gldm_GrayLevelVariance,Case-1_original_gldm_HighGrayLevelEmphasis,Case-1_original_gldm_DependenceEntropy,Case-1_original_gldm_DependenceNonUniformity,Case-1_original_gldm_GrayLevelNonUniformity,Case-1_original_gldm_SmallDependenceEmphasis,Case-1_original_gldm_SmallDependenceHighGrayLevelEmphasis,Case-1_original_gldm_DependenceNonUniformityNormalized,Case-1_original_gldm_LargeDependenceEmphasis,Case-1_original_gldm_LargeDependenceLowGrayLevelEmphasis,Case-1_original_gldm_DependenceVariance,Case-1_original_gldm_LargeDependenceHighGrayLevelEmphasis,Case-1_original_gldm_SmallDependenceLowGrayLevelEmphasis,Case-1_original_gldm_LowGrayLevelEmphasis,Case-1_original_glcm_JointAverage,Case-1_original_glcm_SumAverage,Case-1_original_glcm_JointEntropy,Case-1_original_glcm_ClusterShade,Case-1_original_glcm_MaximumProbability,Case-1_original_glcm_Idmn,Case-1_original_glcm_JointEnergy,Case-1_original_glcm_Contrast,Case-1_original_glcm_DifferenceEntropy,Case-1_original_glcm_InverseVariance,Case-1_original_glcm_DifferenceVariance,Case-1_original_glcm_Idn,Case-1_original_glcm_Idm,Case-1_original_glcm_Correlation,Case-1_original_glcm_Autocorrelation,Case-1_original_glcm_SumEntropy,Case-1_original_glcm_MCC,Case-1_original_glcm_SumSquares,Case-1_original_glcm_ClusterProminence,Case-1_original_glcm_Imc2,Case-1_original_glcm_Imc1,Case-1_original_glcm_DifferenceAverage,Case-1_original_glcm_Id,Case-1_original_glcm_ClusterTendency,Case-1_original_firstorder_InterquartileRange,Case-1_original_firstorder_Skewness,Case-1_original_firstorder_Uniformity,Case-1_original_firstorder_Median,Case-1_original_firstorder_Energy,Case-1_original_firstorder_RobustMeanAbsoluteDeviation,Case-1_original_firstorder_MeanAbsoluteDeviation,Case-1_original_firstorder_TotalEnergy,Case-1_original_firstorder_Maximum,Case-1_original_firstorder_RootMeanSquared,Case-1_original_firstorder_90Percentile,Case-1_original_firstorder_Minimum,Case-1_original_firstorder_Entropy,Case-1_original_firstorder_Range,Case-1_original_firstorder_Variance,Case-1_original_firstorder_10Percentile,Case-1_original_firstorder_Kurtosis,Case-1_original_firstorder_Mean,Case-1_original_glrlm_ShortRunLowGrayLevelEmphasis,Case-1_original_glrlm_GrayLevelVariance,Case-1_original_glrlm_LowGrayLevelRunEmphasis,Case-1_original_glrlm_GrayLevelNonUniformityNormalized,Case-1_original_glrlm_RunVariance,Case-1_original_glrlm_GrayLevelNonUniformity,Case-1_original_glrlm_LongRunEmphasis,Case-1_original_glrlm_ShortRunHighGrayLevelEmphasis,Case-1_original_glrlm_RunLengthNonUniformity,Case-1_original_glrlm_ShortRunEmphasis,Case-1_original_glrlm_LongRunHighGrayLevelEmphasis,Case-1_original_glrlm_RunPercentage,Case-1_original_glrlm_LongRunLowGrayLevelEmphasis,Case-1_original_glrlm_RunEntropy,Case-1_original_glrlm_HighGrayLevelRunEmphasis,Case-1_original_glrlm_RunLengthNonUniformityNormalized,Case-1_original_glszm_GrayLevelVariance,Case-1_original_glszm_ZoneVariance,Case-1_original_glszm_GrayLevelNonUniformityNormalized,Case-1_original_glszm_SizeZoneNonUniformityNormalized,Case-1_original_glszm_SizeZoneNonUniformity,Case-1_original_glszm_GrayLevelNonUniformity,Case-1_original_glszm_LargeAreaEmphasis,Case-1_original_glszm_SmallAreaHighGrayLevelEmphasis,Case-1_original_glszm_ZonePercentage,Case-1_original_glszm_LargeAreaLowGrayLevelEmphasis,Case-1_original_glszm_LargeAreaHighGrayLevelEmphasis,Case-1_original_glszm_HighGrayLevelZoneEmphasis,Case-1_original_glszm_SmallAreaEmphasis,Case-1_original_glszm_LowGrayLevelZoneEmphasis,Case-1_original_glszm_ZoneEntropy,Case-1_original_glszm_SmallAreaLowGrayLevelEmphasis,Case-1_original_ngtdm_Coarseness,Case-1_original_ngtdm_Complexity,Case-1_original_ngtdm_Strength,Case-1_original_ngtdm_Contrast,Case-1_original_ngtdm_Busyness
1, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/cxr_nrrd/JPCLN001.nrrd, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/msk_nrrd/JPCLN001.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12, {'distances', {'Original', df8dc9e8d4439a5d24ab017f3be07cd6750353f0," (1.0, 1.0, 1.0)"," (512, 512, 1)",187.5263214111,0,247, 74b5c66262c8162626b766d1ebc728f0f44510f5," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (16, 72, 0, 424, 400, 1)",479,296," (219.0751565762004, 291.0897703549061, 0.0)"," (219.0751565762004, 291.0897703549061, 0.0)",479,503.622874778,137.666666667,507.5246908048,0.1261140303,0,0.9588015089,7.4263905891,503.622874778,0,1022.36643776,486.6154393544,346,399,1.1223364612,13.248434238,3.272067822,193.3465553236,149.24217119,0.6112270935,7.3066573881,0.4036462533,3.872651357,0.4788268383,0.7753452957,58.3006263048,0.1130100647,0.160473788,3.4516826923,6.9033653846,1.5027933202,-5.8905229112,0.5851762821,0.9998150888,0.440717507,0.0048076923,0.0342748697,0.0048076923,0.0047152367,0.9991987179,0.9975961538,0.9968686017,12.9776442308,1.4979856278,1,0.8025006934,46.1976963582,0.9522828194,-0.9787514966,0.0048076923,0.9975961538,3.2051950814,28,-1.0298484138,0.3115702948,208,19591197,13.7516739292,19.9035307552,19591197,236,202.2379848229,226,134,1.9562874716,102,618.2878997215,160,3.25029621,200.7035490605,0.1627955675,1.1412637395,0.166827808,0.3018675798,1.7637237819,131.6837735522,3.084896824,12.575647002,410.7898192869,0.9743301557,47.1894537061,0.9050104384,0.3372828461,2.1920907255,12.9249232202,0.9404390375,1.20285008,7.6643437993,0.2708358967,0.7465352737,223.2140468227,80.9799331104,10.2307692308,10.2323929712,0.624217119,0.9480927165,163.143812709,11.8361204013,0.8823557415,0.1880992196,2.8609172843,0.1686755748,1.2945945946,0.0581664101,9.5854458694,0.0008200788,0.0459057072
1, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/cxr_nrrd/JPCLN002.nrrd, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/msk_nrrd/JPCLN002.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12, {'distances', {'Original', 88eb9869ff6d6c789d1ff7e1a8a3e7e2ba9394f7," (1.0, 1.0, 1.0)"," (512, 512, 1)",190.3523101807,0,255, 0c390ed4f8a6e95bfc186caf8afb9d2c6cb4f865," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (40, 72, 0, 344, 376, 1)",408,243," (236.05882352941177, 243.06372549019608, 0.0)"," (236.05882352941177, 243.06372549019608, 0.0)",408,433.457033626,117.916666667,526.7504008573,0.1326171594,0,0.7278820242,7.4363417187,433.457033626,0,876.868627661,383.4121480215,295,375,0.9058475106,10.6102941176,3.2792888675,166.9607843137,129.362745098,0.6115196078,6.917211329,0.4092176086,3.9264705882,0.5642068355,0.7949586697,38.1495098039,0.0930032075,0.1490788399,2.9045278616,5.8090557232,2.0795918397,0.6765524571,0.4554549519,0.9929859606,0.3084802729,0.1823650235,0.505112731,0.1823650235,0.1193194107,0.9696058294,0.9088174883,0.8366541401,9.0554856919,1.8972268163,0.8780776406,0.6655247595,22.5366413448,0.8859965827,-0.676787123,0.1823650235,0.9088174883,2.4797340144,27,0.1857221625,0.3170655517,188,14931593,12.6509250554,17.8685121107,14931593,237,191.3035328128,225.3,135,1.9080268827,102,507.286037822,162,2.5313306648,189.9730392157,0.1465459657,0.9408411685,0.1501478723,0.3099718274,2.1713580103,114.9491394309,3.5190391364,10.5264037647,350.8365658148,0.9755592316,32.887608162,0.9037990196,0.4896013395,2.1348718962,10.7765027381,0.9437176526,1.0549729151,9.3231292517,0.2855568153,0.7676051902,193.4365079365,71.9603174603,11.9444444444,10.260333714,0.6176470588,1.6419411376,106.9801587302,11.3611111111,0.8923087664,0.1527667549,2.7813425346,0.1364316195,0.2246077622,0.3031663958,2.0850840336,0.0031083003,0.3615644904
1, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/cxr_nrrd/JPCLN003.nrrd, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/msk_nrrd/JPCLN003.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12, {'distances', {'Original', 097c144c8544b12bbaf0eac16faba34330a341c0," (1.0, 1.0, 1.0)"," (512, 512, 1)",185.1274452209,0,255, 73f0e8734f799e46da405dc0e5ab5a0938622840," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (21, 64, 0, 331, 376, 1)",376,210," (203.8909574468085, 239.76063829787233, 0.0)"," (203.8909574468085, 239.76063829787233, 0.0)",376,426.138475146,112.916666667,498.8259838481,0.1377865187,0,0.7170567458,7.2614727846,426.138475146,0,819.941301924,357.6865367171,278,375,0.8162913083,9.2819148936,3.1511632162,136.9946808511,119.9361702128,0.5551122931,4.9878841608,0.3643475555,4.1861702128,0.6518543144,0.7597329108,40.5478723404,0.1325036528,0.2039007092,2.4978579812,4.9957159624,1.6272696048,1.3808655327,0.5100352113,0.9981531345,0.3901945918,0.0313967136,0.1665869055,0.0313967136,0.0292142625,0.9937206573,0.9843016432,0.9703624362,7.2457159624,1.5958728912,0.9830640578,0.6869094639,16.0803796586,0.9546508918,-0.898419878,0.0313967136,0.9843016432,2.7162411421,29.25,-0.3519692646,0.3189791761,187,13186160,13.1489287543,18.053983703,13186160,224,187.2687226103,215,133,1.7971989434,91,497.3150746944,152,2.3706001878,185.9361702128,0.2075107793,0.871491638,0.2148717436,0.3084247016,2.1654706334,104.9698546156,3.5621489622,8.8488733444,312.7145729586,0.9644760248,33.6450780699,0.8936170213,0.5041647873,2.085074807,9.1776166677,0.918510283,1.052899828,9.8363949118,0.271337255,0.6634033426,143.9585253456,58.8801843318,12.8387096774,7.4413294388,0.5771276596,1.6175755248,121.7695852535,8.9032258065,0.8380970795,0.2461917563,2.9691754495,0.2091411131,0.3689892051,0.129517838,2.3829787234,0.0027137344,0.3021945433
1, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/cxr_nrrd/JPCLN004.nrrd, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/msk_nrrd/JPCLN004.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12, {'distances', {'Original', 5d898e3a57b82eb0f95fdd39f19291f8b77dde89," (1.0, 1.0, 1.0)"," (512, 512, 1)",188.5462265015,0,255, db8829af9880d03ba20c9f25cda67fca3ff892ef," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (56, 64, 0, 416, 384, 1)",540,246," (256.77407407407406, 262.93333333333334, 0.0)"," (256.77407407407406, 262.93333333333334, 0.0)",540,500.888211081,182.666666667,540.4025324322,0.1247611012,0,0.8575303569,6.8315380341,500.888211081,0,1247.8942809,463.4115764883,327,384,1.3003978052,15.8814814815,3.4121033112,201.7444444444,154.0333333333,0.4727366255,7.5391975309,0.373600823,5.0925925926,0.4988935185,0.8214814815,82.1148148148,0.0545769604,0.1094603909,3.4796845979,6.9593691959,1.9990068349,0.1607619683,0.3868722955,0.9993686719,0.2888326372,0.0164145312,0.1011811266,0.0164145312,0.0157484336,0.9972642448,0.9917927344,0.9939260378,13.4558554718,1.9825923037,1,1.2050434274,48.9024830414,0.985453419,-0.948537562,0.0164145312,0.9917927344,4.8037591785,45,-0.5304754017,0.2852469136,217,23543832,19.0279273561,23.073744856,23543832,241,208.8053852009,235,136,1.9715194946,105,661.7094101509,170.9,2.0589090886,207.2148148148,0.1090958014,1.3221921464,0.1131659784,0.2799366576,4.6663088599,132.4199552999,6.2453850767,15.3652373825,442.8185768776,0.971673185,115.9084479981,0.8666666667,0.468588561,2.2182875562,15.761926259,0.9362065143,1.3871252205,22.6462585034,0.264329806,0.6722096246,169.3968253968,66.6111111111,27.2380952381,13.4819091127,0.4666666667,1.9514473104,511.9682539683,15.6587301587,0.8396231741,0.1227799824,3.1027169227,0.0980727615,0.7573632539,0.0879377516,6.6172839506,0.0014448865,0.0725773616
1, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/cxr_nrrd/JPCLN005.nrrd, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/msk_nrrd/JPCLN005.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12, {'distances', {'Original', f17c57c0ce35a6438d7d0166ba7fcc9e1ab73443," (1.0, 1.0, 1.0)"," (512, 512, 1)",194.8146095276,0,255, cbd0c900879f85aef20bdfd67d5de32b3b026f9b," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (32, 67, 0, 328, 381, 1)",288,211," (205.61805555555554, 257.6041666666667, 0.0)"," (205.61805555555554, 257.6041666666667, 0.0)",288,428.963867942,69.8333333333,531.5684417117,0.1426563357,0,0.7663969527,8.2320020344,428.963867942,0,574.868142071,407.3924338659,295,380,1.0354817708,8.4270833333,3.1688017459,138.1944444444,77.8125,0.7092978395,6.1666666667,0.479841821,2.9652777778,0.8217351466,0.6099054784,23.3020833333,0.1882823217,0.2691695602,2.5392431973,5.0784863946,1.7771824048,0.6680386843,0.4784438776,0.9987194878,0.3427591657,0.0217687075,0.1242713762,0.0217687075,0.0205534731,0.9956462585,0.9891156463,0.988538235,7.6296343537,1.7554136974,1,0.975855192,31.3229769599,0.9761543516,-0.9417285716,0.0217687075,0.9891156463,3.8816520605,40.25,-0.4011884938,0.2701822917,209,12137878,16.7482993197,20.9618055556,12137878,239,205.2934721861,233.3,151,1.9414104602,88,588.8884548611,166,1.9416699644,203.8541666667,0.2626020155,1.0359904319,0.269001036,0.2740529853,0.7326202789,73.6066694668,1.8959208479,8.2672616286,252.6929889249,0.9753609249,13.6981034816,0.9331597222,0.5096940411,2.1379039422,8.4836625295,0.9394978712,1.0290286319,3.2985518746,0.2865172254,0.7697105953,163.9483568075,61.0281690141,5.1267605634,7.8387995566,0.7395833333,1.4063967136,32.6901408451,8.7276995305,0.8962167449,0.2641171101,2.6131326143,0.2366846278,1.1228070175,0.0518170484,6.2222222222,0.0017977114,0.1348580442
1, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/cxr_nrrd/JPCLN006.nrrd, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/msk_nrrd/JPCLN006.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12, {'distances', {'Original', b4e38e3baec05e1735e2e39a156c23d7c878e5a5," (1.0, 1.0, 1.0)"," (512, 512, 1)",186.3952102661,0,255, 384045cbc0c10f360ae1489774bd1cacb6ae112e," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (32, 56, 0, 397, 391, 1)",430,248," (216.4279069767442, 243.66744186046512, 0.0)"," (216.4279069767442, 243.66744186046512, 0.0)",430,474.489199034,127.916666667,480.4660636062,0.1320147893,0,0.9389109617,7.2703026985,474.489199034,0,929.992886849,451.1148538579,319,390,0.5673823688,16.9604651163,3.1330843211,158.423255814,165.8651162791,0.5795465116,10.0063630491,0.3684261763,4.223255814,0.3053462532,0.8820118983,72.9046511628,0.039897551,0.0728630491,3.9555934874,7.9111869748,1.9721419,-1.1737095364,0.4648021709,0.9947101918,0.3320327356,0.137535014,0.5175344263,0.137535014,0.1101032864,0.9770774977,0.931232493,0.8870607305,16.2647934174,1.834606886,0.9299189677,0.6185106184,18.1023381843,0.9201509657,-0.6831918274,0.137535014,0.931232493,2.3365074596,22,-0.9787001013,0.3857328286,212,19478473,9.625308642,12.8743969713,19478473,237,212.8350873766,233,146,1.5843851266,91,284.7378528935,191.9,4.6252941461,212.1651162791,0.0697434935,0.5614595199,0.0726704433,0.3873489757,1.0503600644,149.6865672211,2.3528078247,16.3556841631,357.109605441,0.965515238,39.810642382,0.8965116279,0.1679863045,1.8471238691,16.938893589,0.9206056734,0.5511545743,5.475291066,0.383759932,0.6860810065,177.694980695,99.3938223938,8.2316602317,14.7507406561,0.6023255814,0.5828185328,138.8764478764,17.111969112,0.8491401561,0.0710328185,2.5455201597,0.057311435,0.2266736953,0.329464526,2.4449612403,0.0019792408,0.1982650502
1, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/cxr_nrrd/JPCLN007.nrrd, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/msk_nrrd/JPCLN007.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12, {'distances', {'Original', 0947c028c2aa49e7122822d197a0ddc1cc2a20a5," (1.0, 1.0, 1.0)"," (512, 512, 1)",185.1792831421,0,255, b1f28ec8911f155d655f9ed29d63971541693bb5," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (32, 56, 0, 430, 400, 1)",522,296," (249.51149425287358, 270.61494252873564, 0.0)"," (249.51149425287358, 270.61494252873564, 0.0)",522,500.356872642,158.5,528.4544196998,0.1237640982,0,0.9345494772,7.2201522253,500.356872642,0,1144.39412771,493.8668016562,349,399,0.582801192,8.2988505747,3.0890447952,197.0038314176,192.6091954023,0.5741805023,4.6297360579,0.3774019759,4.0996168582,0.6519795658,0.7735353268,34.8697318008,0.1209357705,0.1854246488,2.9816468254,5.9632936508,1.698049695,-0.3022211512,0.5515873016,0.9928026766,0.4096184449,0.1223544974,0.4354202835,0.1223544974,0.0946589541,0.9755291005,0.9388227513,0.8489199856,9.2733134921,1.5756951977,0.8682701165,0.3839866386,5.7668837096,0.8493429362,-0.6409418836,0.1223544974,0.9388227513,1.4135920572,28,-0.5128715281,0.368983133,210,22350959,11.4262566629,14.4533110201,22350959,229,206.9249359521,226,165,1.639743964,64,286.3734714699,180.1,2.1217544709,206.2318007663,0.1859120033,0.5959073796,0.1905662851,0.3685582007,1.3840290846,172.2977589983,2.7563298645,7.9649835858,440.4496641942,0.9677573826,22.1535454377,0.8970306513,0.4695698965,1.8925901314,8.2605139452,0.9274660581,0.6449127172,6.4198431439,0.3613805026,0.701446281,216.0454545455,111.3051948052,9.2922077922,6.8428538043,0.5900383142,1.4990981241,75.0714285714,8.1006493506,0.8578603731,0.2093479437,2.6199530959,0.1876037772,0.1692332631,0.1889996601,0.804194394,0.0035355117,0.6534957627
1, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/cxr_nrrd/JPCLN008.nrrd, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/msk_nrrd/JPCLN008.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12, {'distances', {'Original', ef300cf433f6643127ec02aef0e2b2c705ba1c05," (1.0, 1.0, 1.0)"," (512, 512, 1)",192.933391571,0,255, 44fdf84a4e7fd3c935f8c87c3ec656ee0111e2fb," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (32, 40, 0, 454, 416, 1)",663,315," (266.6259426847662, 263.6772247360483, 0.0)"," (266.6259426847662, 263.6772247360483, 0.0)",663,524.881891477,219.833333333,559.4065429438,0.1162783652,0,0.9183182578,6.8910810645,524.881891477,0,1514.88932068,513.7132419087,384,416,1.7694150406,34.4298642534,3.637631278,236.6470588235,178.2639517345,0.4859225742,16.5763365175,0.3569337237,4.8461538462,0.2207036233,0.7916709322,167.3288084465,0.0212507201,0.0442814818,5.9222916667,11.8445833333,1.8220210363,-10.0895495947,0.5093440594,0.9990099835,0.3674155063,0.0495008251,0.2487732981,0.0495008251,0.0449222706,0.9938123969,0.9752495875,0.9639862698,36.5238448845,1.7725202112,1,1.3013159568,95.6405571838,0.9546237104,-0.8589832482,0.0495008251,0.9752495875,5.1557630019,38,-1.3435990612,0.2688747387,219,28561775,16.6691358025,25.5901030327,28561775,243,207.5562581607,233,76,2.1469600279,167,1042.2313675441,157.2,4.0519913227,205.0301659125,0.0424048854,1.7394574964,0.0438716078,0.2662891102,2.81209842,154.8502622806,4.3986149318,33.1882934261,544.7218522351,0.965142425,152.9327262345,0.8733031674,0.1998624541,2.4172470137,34.4042695344,0.9239317333,1.6495431548,12.6445024268,0.255300246,0.6361323869,208.0152905199,83.4831804281,16.755351682,27.8547821881,0.4932126697,0.7634786626,582.871559633,34.247706422,0.8191747215,0.0429839398,3.3106376159,0.0356721834,0.3966497158,0.4072511368,9.0330149154,0.0017156578,0.0544746448
1, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/cxr_nrrd/JPCLN009.nrrd, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/msk_nrrd/JPCLN009.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12, {'distances', {'Original', 82dfcd284deb62364cb5e10fc6fdf356d41f37b4," (1.0, 1.0, 1.0)"," (512, 512, 1)",180.9176864624,0,255, c587fcac6a581271565a8bd98d7f8f400da132bb," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (40, 72, 0, 374, 392, 1)",438,251," (223.76255707762556, 260.47945205479454, 0.0)"," (223.76255707762556, 260.47945205479454, 0.0)",438,476.665501164,132.25,546.8122757949,0.1309429432,0,0.8669530361,7.2488670198,476.665501164,0,958.662663365,474.0605626772,328,392,0.7505733825,10.8652968037,3.2626205681,161.5068493151,142.8310502283,0.5677321157,6.2037037037,0.3687370989,4.0684931507,0.5063514713,0.7491086508,43.7785388128,0.0930620737,0.145482623,3.2334394904,6.4668789809,1.6482958403,-3.1987180598,0.5281183652,0.9986709946,0.3968286577,0.0345541401,0.17576254,0.0345541401,0.0316890138,0.9942409766,0.9827229299,0.9590826958,11.1680997877,1.6137417002,0.9708564998,0.689017117,21.9561526412,0.9511308362,-0.8700633104,0.0345541401,0.9827229299,2.7215143278,40,-0.1715822511,0.3260982882,190,16278130,15.7819363039,19.4199662226,16278130,227,192.7814315885,221,139,1.8088804248,88,524.777110569,159.7,1.9912417312,191.4155251142,0.1454448689,0.7888684694,0.1495230616,0.3213101931,1.6991283845,126.7315372923,3.0661351937,10.5412068413,368.6243104706,0.9679790086,31.5952649774,0.897260274,0.388431903,2.0862527418,10.8977603857,0.9273164948,0.9218346253,7.5054984676,0.299290908,0.6750495763,174.1627906977,77.2170542636,10.3875968992,9.2201646453,0.5890410959,1.2467431094,105.7170542636,10.9496124031,0.8436897157,0.1641257537,2.918493275,0.1434657457,0.415954416,0.1925885187,2.9295842346,0.001627956,0.1550353357
1, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/cxr_nrrd/JPCLN010.nrrd, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/msk_nrrd/JPCLN010.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12, {'distances', {'Original', ee9b68212dec5412f748d3f48748800cc37213fa," (1.0, 1.0, 1.0)"," (512, 512, 1)",188.1630325317,0,255, 7d869b2b545aa4604d9e4a23221895dde3d22be3," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (56, 72, 0, 384, 368, 1)",418,251," (253.5980861244019, 290.89234449760767, 0.0)"," (253.5980861244019, 290.89234449760767, 0.0)",418,460.400912249,121.166666667,503.171042968,0.1315413353,0,0.8337950663,7.4295211733,460.400912249,0,900.210315495,419.5415331456,303,368,1.0808131682,9.4880382775,3.4782603811,159.6650717703,112.2918660287,0.5905103668,5.8180489102,0.3819738559,3.9138755981,0.7920707071,0.7458162588,35.5023923445,0.1187955579,0.2045800106,2.9355443975,5.8710887949,2.035906229,-1.3293208563,0.4273431994,0.9987531848,0.2983843035,0.0324171952,0.1690183029,0.0324171952,0.0299755011,0.9945971341,0.9837914024,0.9820326488,9.9712297393,2.0034890338,1,1.2989914854,58.4829583726,0.9805048103,-0.9187921092,0.0324171952,0.9837914024,5.1635487465,34.75,0.4083543483,0.2686408278,183,14561205,14.2607751829,20.0015109544,14561205,242,186.6424888933,217,141,2.0676705531,101,616.6145520936,153.7,2.6682291593,184.9832535885,0.1972766041,1.1163240038,0.2049483697,0.264911608,1.5292033292,100.5770324907,2.8344393617,9.3123372485,351.7351041165,0.9690626889,25.4526348826,0.9025119617,0.5014948901,2.3233304556,9.5832761705,0.9269281695,1.2101318718,6.9655255946,0.2511317355,0.6930763524,178.1206225681,64.5408560311,9.6108949416,8.5187638502,0.6148325359,1.6198616515,85.3307392996,9.8404669261,0.8546598952,0.2045092953,3.0660668613,0.1702615857,0.3805188894,0.1814167311,3.6363636364,0.0021978258,0.2700344149
