Labels,Case-1_Image,Case-1_Mask,Case-1_diagnostics_Versions_PyRadiomics,Case-1_diagnostics_Versions_Numpy,Case-1_diagnostics_Versions_SimpleITK,Case-1_diagnostics_Versions_PyWavelet,Case-1_diagnostics_Versions_Python,Case-1_diagnostics_Configuration_Settings,Case-1_diagnostics_Configuration_EnabledImageTypes,Case-1_diagnostics_Image-original_Hash,Case-1_diagnostics_Image-original_Spacing,Case-1_diagnostics_Image-original_Size,Case-1_diagnostics_Image-original_Mean,Case-1_diagnostics_Image-original_Minimum,Case-1_diagnostics_Image-original_Maximum,Case-1_diagnostics_Mask-original_Hash,Case-1_diagnostics_Mask-original_Spacing,Case-1_diagnostics_Mask-original_Size,Case-1_diagnostics_Mask-original_BoundingBox,Case-1_diagnostics_Mask-original_VoxelNum,Case-1_diagnostics_Mask-original_VolumeNum,Case-1_diagnostics_Mask-original_CenterOfMassIndex,Case-1_diagnostics_Mask-original_CenterOfMass,Case-1_original_shape_VoxelVolume,Case-1_original_shape_Maximum3DDiameter,Case-1_original_shape_MeshVolume,Case-1_original_shape_MajorAxisLength,Case-1_original_shape_Sphericity,Case-1_original_shape_LeastAxisLength,Case-1_original_shape_Elongation,Case-1_original_shape_SurfaceVolumeRatio,Case-1_original_shape_Maximum2DDiameterSlice,Case-1_original_shape_Flatness,Case-1_original_shape_SurfaceArea,Case-1_original_shape_MinorAxisLength,Case-1_original_shape_Maximum2DDiameterColumn,Case-1_original_shape_Maximum2DDiameterRow,Case-1_original_gldm_GrayLevelVariance,Case-1_original_gldm_HighGrayLevelEmphasis,Case-1_original_gldm_DependenceEntropy,Case-1_original_gldm_DependenceNonUniformity,Case-1_original_gldm_GrayLevelNonUniformity,Case-1_original_gldm_SmallDependenceEmphasis,Case-1_original_gldm_SmallDependenceHighGrayLevelEmphasis,Case-1_original_gldm_DependenceNonUniformityNormalized,Case-1_original_gldm_LargeDependenceEmphasis,Case-1_original_gldm_LargeDependenceLowGrayLevelEmphasis,Case-1_original_gldm_DependenceVariance,Case-1_original_gldm_LargeDependenceHighGrayLevelEmphasis,Case-1_original_gldm_SmallDependenceLowGrayLevelEmphasis,Case-1_original_gldm_LowGrayLevelEmphasis,Case-1_original_glcm_JointAverage,Case-1_original_glcm_SumAverage,Case-1_original_glcm_JointEntropy,Case-1_original_glcm_ClusterShade,Case-1_original_glcm_MaximumProbability,Case-1_original_glcm_Idmn,Case-1_original_glcm_JointEnergy,Case-1_original_glcm_Contrast,Case-1_original_glcm_DifferenceEntropy,Case-1_original_glcm_InverseVariance,Case-1_original_glcm_DifferenceVariance,Case-1_original_glcm_Idn,Case-1_original_glcm_Idm,Case-1_original_glcm_Correlation,Case-1_original_glcm_Autocorrelation,Case-1_original_glcm_SumEntropy,Case-1_original_glcm_MCC,Case-1_original_glcm_SumSquares,Case-1_original_glcm_ClusterProminence,Case-1_original_glcm_Imc2,Case-1_original_glcm_Imc1,Case-1_original_glcm_DifferenceAverage,Case-1_original_glcm_Id,Case-1_original_glcm_ClusterTendency,Case-1_original_firstorder_InterquartileRange,Case-1_original_firstorder_Skewness,Case-1_original_firstorder_Uniformity,Case-1_original_firstorder_Median,Case-1_original_firstorder_Energy,Case-1_original_firstorder_RobustMeanAbsoluteDeviation,Case-1_original_firstorder_MeanAbsoluteDeviation,Case-1_original_firstorder_TotalEnergy,Case-1_original_firstorder_Maximum,Case-1_original_firstorder_RootMeanSquared,Case-1_original_firstorder_90Percentile,Case-1_original_firstorder_Minimum,Case-1_original_firstorder_Entropy,Case-1_original_firstorder_Range,Case-1_original_firstorder_Variance,Case-1_original_firstorder_10Percentile,Case-1_original_firstorder_Kurtosis,Case-1_original_firstorder_Mean,Case-1_original_glrlm_ShortRunLowGrayLevelEmphasis,Case-1_original_glrlm_GrayLevelVariance,Case-1_original_glrlm_LowGrayLevelRunEmphasis,Case-1_original_glrlm_GrayLevelNonUniformityNormalized,Case-1_original_glrlm_RunVariance,Case-1_original_glrlm_GrayLevelNonUniformity,Case-1_original_glrlm_LongRunEmphasis,Case-1_original_glrlm_ShortRunHighGrayLevelEmphasis,Case-1_original_glrlm_RunLengthNonUniformity,Case-1_original_glrlm_ShortRunEmphasis,Case-1_original_glrlm_LongRunHighGrayLevelEmphasis,Case-1_original_glrlm_RunPercentage,Case-1_original_glrlm_LongRunLowGrayLevelEmphasis,Case-1_original_glrlm_RunEntropy,Case-1_original_glrlm_HighGrayLevelRunEmphasis,Case-1_original_glrlm_RunLengthNonUniformityNormalized,Case-1_original_glszm_GrayLevelVariance,Case-1_original_glszm_ZoneVariance,Case-1_original_glszm_GrayLevelNonUniformityNormalized,Case-1_original_glszm_SizeZoneNonUniformityNormalized,Case-1_original_glszm_SizeZoneNonUniformity,Case-1_original_glszm_GrayLevelNonUniformity,Case-1_original_glszm_LargeAreaEmphasis,Case-1_original_glszm_SmallAreaHighGrayLevelEmphasis,Case-1_original_glszm_ZonePercentage,Case-1_original_glszm_LargeAreaLowGrayLevelEmphasis,Case-1_original_glszm_LargeAreaHighGrayLevelEmphasis,Case-1_original_glszm_HighGrayLevelZoneEmphasis,Case-1_original_glszm_SmallAreaEmphasis,Case-1_original_glszm_LowGrayLevelZoneEmphasis,Case-1_original_glszm_ZoneEntropy,Case-1_original_glszm_SmallAreaLowGrayLevelEmphasis,Case-1_original_ngtdm_Coarseness,Case-1_original_ngtdm_Complexity,Case-1_original_ngtdm_Strength,Case-1_original_ngtdm_Contrast,Case-1_original_ngtdm_Busyness
0, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/cxr_nrrd/JPCNN001.nrrd, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/msk_nrrd/JPCNN001.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12, {'distances', {'Original', 2852602d55446122d6d3ad5dc28e1f5ef5fc6b30," (1.0, 1.0, 1.0)"," (512, 512, 1)",191.3279876709,0,255, 8b97a332f7fd0ad63cb15f9909143d58aaa0cb7b," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (48, 48, 0, 443, 432, 1)",515,266," (259.04077669902915, 248.44660194174756, 0.0)"," (259.04077669902915, 248.44660194174756, 0.0)",515,543.007366433,164.75,586.778741554,0.1254558407,0,0.8519153474,7.0315558669,543.007366433,0,1158.44882907,499.8858154298,350,432,4.6750344048,43.332038835,3.8259089233,183.2252427184,125.0737864078,0.5193096009,23.0490830636,0.3557771703,4.5106796117,0.2864232547,0.7779055519,188.5242718447,0.0451432153,0.0742236147,6.1735863095,12.347172619,2.0979249805,-114.2892540715,0.4215029762,0.9985805861,0.2830391909,0.0922619048,0.3618449514,0.0922619048,0.0745819161,0.9897486772,0.9538690476,0.9918072215,43.5375,2.0056630758,1,5.4527970654,1319.2198193724,0.9906093122,-0.984587163,0.0922619048,0.9538690476,21.718926357,62,-1.0476126462,0.2428617212,212,20553219,32.2171592695,44.7192760863,20553219,245,199.7727786932,243,64,2.4098089068,181,2981.7572249977,90,2.7374094994,192.1650485437,0.0750105066,4.628510783,0.0769638559,0.2467973659,3.1253248063,111.5939732965,4.6409662346,42.1101089225,426.6659657363,0.9652865817,176.1406477701,0.8834951456,0.3023338472,2.6483852078,43.7140705197,0.921317144,4.5116047049,13.4059415039,0.2586641462,0.6494959042,179.2608695652,71.3913043478,16.8876811594,37.1283722823,0.5359223301,1.0702660497,624.0869565217,44.8985507246,0.8300865149,0.0859792519,3.3383151703,0.0757196682,1.0819327731,0.4119818919,15.8458551158,0.0042146635,0.0147222566
0, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/cxr_nrrd/JPCNN066.nrrd, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/msk_nrrd/JPCNN066.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12, {'distances', {'Original', 7047e65b3a17675768d998db9fc8f5289b9e9923," (1.0, 1.0, 1.0)"," (512, 512, 1)",216.7376022339,0,255, bbb30f7f33c760ded590c22cc0823e68ec910a09," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (32, 64, 0, 370, 424, 1)",446,253," (216.56726457399103, 273.0112107623318, 0.0)"," (216.56726457399103, 273.0112107623318, 0.0)",446,476.324469243,135.166666667,547.4315305658,0.1303930861,0,0.8063373147,7.2266944423,476.324469243,0,976.808198777,441.4144703396,297,424,0.8335779927,9.6995515695,3.2551826166,167.3677130045,136.668161435,0.5663926258,5.1999252616,0.3752639305,4.1793721973,0.6377678127,0.7825413742,42.9147982063,0.1226220381,0.1870640259,2.9048537234,5.8097074468,1.9920891345,-2.5515568662,0.3379432624,0.9964825824,0.2779893924,0.0597960993,0.2799909517,0.0597960993,0.05333955,0.9880407801,0.9701019504,0.9673631377,9.3901595745,1.9322930352,1,0.9472181177,27.4860822654,0.9712313773,-0.8578481739,0.0597960993,0.9701019504,3.7290763716,35,-0.4734600683,0.3064308552,213,20103027,13.5357042539,17.8484083734,20103027,245,212.3065038323,237,153,1.8071261987,92,461.223999075,182.5,2.4148030707,211.2174887892,0.1886079726,0.847862247,0.1938272144,0.3039769526,1.6599672875,121.6178133196,2.9983322941,9.2803654546,373.9135724383,0.9699338616,33.802564165,0.8946188341,0.4182751772,2.0620522873,9.5824200096,0.9305447298,0.8973224852,7.8420710059,0.2977810651,0.6936094675,180.3384615385,77.4230769231,10.7846153846,7.7218658001,0.5829596413,1.3500534188,126.4384615385,9.1961538462,0.8532043585,0.2175213675,2.8354153359,0.1919877782,0.3583768582,0.1062145981,2.0548081714,0.0028035134,0.3092693837
0, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/cxr_nrrd/JPCNN017.nrrd, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/msk_nrrd/JPCNN017.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12, {'distances', {'Original', cb9691cfc006529191b05449bc3f2ccfccffb588," (1.0, 1.0, 1.0)"," (512, 512, 1)",172.5489692688,0,255, 8ce0a978b047a5cdbc56021b2ad9c9f47a42fafb," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (25, 73, 0, 421, 359, 1)",553,232," (231.30741410488247, 262.90777576853526, 0.0)"," (231.30741410488247, 262.90777576853526, 0.0)",553,496.46047174,196.416666667,508.4051600802,0.1252996073,0,0.9032537463,6.6395957145,496.46047174,0,1304.12725825,459.2188654684,358,358,1.779653313,14.1247739602,3.7617450172,199.1699819168,126.1392405063,0.452079566,7.2337753667,0.3601627159,5.1446654611,0.7332323689,0.7823837755,63.9511754069,0.064532879,0.141895218,3.8005756579,7.6011513158,2.1093375494,4.8985289237,0.3958333333,0.997606982,0.2748356165,0.0885416667,0.3827192329,0.0885416667,0.0767144097,0.9873511905,0.9557291667,0.9766793229,16.789747807,2.0207958827,0.996543791,2.2620580221,132.5883532273,0.9810810157,-0.8886113395,0.0885416667,0.9557291667,8.9596904216,33,0.3577603072,0.2280998924,171,17290173,18.7806919643,25.5423810287,17290173,236,176.8223278431,227,108,2.3051027785,128,1047.3743676609,130,2.3612153309,173.835443038,0.1350417915,1.8916357597,0.1415601162,0.2223703051,2.8746966868,107.5296219074,4.7038259163,14.0213630949,447.9964330673,0.9534955706,53.6881383894,0.8639240506,0.6674188945,2.651407418,14.7043946597,0.9040581189,2.2283428893,12.1986908091,0.2024871502,0.5994000844,151.6482213439,51.2292490119,16.976284585,13.3039723374,0.4575045208,2.4220059289,184.8102766798,16.3873517787,0.7943354383,0.1419279754,3.6899832981,0.1139595352,0.1812520485,0.5140132532,2.5048020896,0.0048272694,0.3928663405
1, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/cxr_nrrd/JPCLN008.nrrd, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/msk_nrrd/JPCLN008.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12, {'distances', {'Original', ef300cf433f6643127ec02aef0e2b2c705ba1c05," (1.0, 1.0, 1.0)"," (512, 512, 1)",192.933391571,0,255, 44fdf84a4e7fd3c935f8c87c3ec656ee0111e2fb," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (32, 40, 0, 454, 416, 1)",663,315," (266.6259426847662, 263.6772247360483, 0.0)"," (266.6259426847662, 263.6772247360483, 0.0)",663,524.881891477,219.833333333,559.4065429438,0.1162783652,0,0.9183182578,6.8910810645,524.881891477,0,1514.88932068,513.7132419087,384,416,1.7694150406,34.4298642534,3.637631278,236.6470588235,178.2639517345,0.4859225742,16.5763365175,0.3569337237,4.8461538462,0.2207036233,0.7916709322,167.3288084465,0.0212507201,0.0442814818,5.9222916667,11.8445833333,1.8220210363,-10.0895495947,0.5093440594,0.9990099835,0.3674155063,0.0495008251,0.2487732981,0.0495008251,0.0449222706,0.9938123969,0.9752495875,0.9639862698,36.5238448845,1.7725202112,1,1.3013159568,95.6405571838,0.9546237104,-0.8589832482,0.0495008251,0.9752495875,5.1557630019,38,-1.3435990612,0.2688747387,219,28561775,16.6691358025,25.5901030327,28561775,243,207.5562581607,233,76,2.1469600279,167,1042.2313675441,157.2,4.0519913227,205.0301659125,0.0424048854,1.7394574964,0.0438716078,0.2662891102,2.81209842,154.8502622806,4.3986149318,33.1882934261,544.7218522351,0.965142425,152.9327262345,0.8733031674,0.1998624541,2.4172470137,34.4042695344,0.9239317333,1.6495431548,12.6445024268,0.255300246,0.6361323869,208.0152905199,83.4831804281,16.755351682,27.8547821881,0.4932126697,0.7634786626,582.871559633,34.247706422,0.8191747215,0.0429839398,3.3106376159,0.0356721834,0.3966497158,0.4072511368,9.0330149154,0.0017156578,0.0544746448
0, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/cxr_nrrd/JPCNN016.nrrd, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/msk_nrrd/JPCNN016.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12, {'distances', {'Original', dd9086261bf2a85d6d66ea4b37d41e261850e7dc," (1.0, 1.0, 1.0)"," (512, 512, 1)",193.9409370422,0,255, 4e0ffeafb6ca799cc23231ca5d8956ec6944030c," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (56, 41, 0, 427, 454, 1)",527,311," (271.2504743833017, 273.8368121442125, 0.0)"," (271.2504743833017, 273.8368121442125, 0.0)",527,543.776608544,153.583333333,618.6329050019,0.1222924411,0,0.8259721166,7.3841948375,543.776608544,0,1134.08925712,510.9735299423,366,447,1.735569566,33.6034155598,3.6949955017,193.660341556,129.9297912713,0.5735425891,19.7525432216,0.3674769289,3.9753320683,0.1760686102,0.7325990444,129.7324478178,0.0231840514,0.0419232101,5.9617989769,11.9235979538,1.9520759136,-8.6607247341,0.4373471356,0.9995607553,0.3186495006,0.0219622332,0.12988516,0.0219622332,0.0209907288,0.9972547209,0.9890188834,0.9907685882,36.917069999,1.9301136804,1,1.238503157,72.2812617575,0.9792125224,-0.9293705412,0.0219622332,0.9890188834,4.9320503949,48,-0.8128718992,0.2465460935,208,22154065,20.7098532986,26.0035142171,22154065,242,205.0318853344,237,94,2.1952882587,148,976.8577786259,159,3.0263560735,202.6356736243,0.0399224365,1.6974061027,0.0413939361,0.2500482422,1.0422220344,117.9415592163,2.3716559616,32.6431996999,438.8839625034,0.9638833248,75.9877340112,0.8999051233,0.1045017151,2.458269397,33.8402031351,0.9166733064,1.5950314954,4.7033735911,0.2573186191,0.6543469502,208.736677116,82.0846394984,7.4326018809,28.8662580989,0.605313093,0.3310709665,234.8181818182,34.4326018809,0.8323273842,0.040013808,3.1804452657,0.0332417037,0.4810588772,0.4265770808,13.1321948134,0.0014114147,0.047146669
0, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/cxr_nrrd/JPCNN008.nrrd, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/msk_nrrd/JPCNN008.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12, {'distances', {'Original', adb3fa1d24dc1b977bddf4c3569da61dabd26f61," (1.0, 1.0, 1.0)"," (512, 512, 1)",203.1945915222,0,255, 6598241de8232250c9240d77a7b1b741e8f8edef," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (32, 48, 0, 406, 448, 1)",403,268," (245.6848635235732, 293.454094292804, 0.0)"," (245.6848635235732, 293.454094292804, 0.0)",403,531.415091995,108.166666667,605.6613206753,0.1309989233,0,0.7880841462,7.7479221715,531.415091995,0,838.066914886,477.3120848164,341,446,1.1425352043,25.7717121588,3.1660832886,180.7568238213,124.6923076923,0.6742486904,16.947339399,0.4485280988,3.317617866,0.1520119934,0.692092187,89.6327543424,0.0386201483,0.0532306314,5.1683021521,10.3366043042,1.7465890267,-5.2697716497,0.4863964294,0.9980658391,0.3894502384,0.0715639521,0.3215851129,0.0715639521,0.0625114684,0.9897765783,0.964218024,0.9557830717,27.6611029592,1.6750250746,0.9924635445,0.8629447911,35.6575519626,0.9564566494,-0.8940381239,0.0715639521,0.964218024,3.3802152123,26,-1.3399118386,0.3094101928,220,18247836,11.9834628868,19.0192908028,18247836,240,212.79095393,236,124,1.9162988279,116,609.1222284479,170,4.1871966727,211.3548387097,0.0530412085,1.1648847337,0.0541210031,0.3115734915,0.968648028,115.6325917505,2.1753564922,25.0877782568,354.1896997669,0.9788172365,56.2107637087,0.9224565757,0.1065817683,2.0965515409,25.6390459133,0.9499862734,1.2440349878,4.4920682159,0.320014492,0.781895347,217.3669064748,88.964028777,6.5935251799,22.4717038869,0.6898263027,0.3041356914,172.4388489209,25.035971223,0.9003643335,0.0576848521,2.6096097023,0.0525473315,0.3213716108,0.527445562,4.5083088954,0.0031185824,0.0925871234
0, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/cxr_nrrd/JPCNN009.nrrd, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/msk_nrrd/JPCNN009.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12, {'distances', {'Original', 3d6f3af40cd9321d697bb03742ae3bddf48f2d9f," (1.0, 1.0, 1.0)"," (512, 512, 1)",172.6227836609,0,252, be5be5b76ef18a845bf19b8cd7fde5b39f712c75," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (24, 88, 0, 437, 368, 1)",654,217," (234.61467889908258, 299.217125382263, 0.0)"," (234.61467889908258, 299.217125382263, 0.0)",654,515.558920008,249.583333333,548.3541765909,0.1196619977,0,0.8338290629,6.4188320935,515.558920008,0,1602.03351,457.2336492169,375,368,2.3267799194,21.4908256881,3.7770480279,266.9174311927,138.9143730887,0.3849813116,7.6368501529,0.4081306287,5.8929663609,0.6089449455,0.7579608899,132.5642201835,0.0459573603,0.1092844921,4.5666572664,9.1333145328,2.1326663813,-7.7699641139,0.4307160315,0.9978049311,0.3300863875,0.1097534445,0.4080917829,0.1097534445,0.0861350723,0.9862808194,0.9451232777,0.9565449989,22.5565304971,2.0229129368,0.9978834432,1.6337324525,106.0437428141,0.9587868278,-0.8259133696,0.1097534445,0.9451232777,6.4251763654,65,-0.5007873799,0.2151988703,183,20158687,26.6620319689,33.0826389473,20158687,225,175.5667406661,215,89,2.3600926859,136,1436.5993533092,116,1.967506652,171.4266055046,0.1063258363,2.3282036921,0.1109389738,0.208002173,5.8214252098,115.5619134455,7.9585124111,20.1891395757,520.5385893351,0.9580625761,189.372514479,0.8417431193,0.7255854351,2.715063185,21.0800350011,0.9131400684,2.4025412786,27.1088996402,0.1944697922,0.5923623905,142.7593360996,46.867219917,34.4730290456,14.9574875305,0.3685015291,3.0547950951,827.265560166,19.4481327801,0.7882603719,0.1211773506,3.7827150345,0.0984069991,0.2083797993,0.7532207166,3.2347094801,0.0047436899,0.1475136304
0, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/cxr_nrrd/JPCNN027.nrrd, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/msk_nrrd/JPCNN027.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12, {'distances', {'Original', 89b38f2cd00dd1cb9a35e488df8f3bbb3a470cae," (1.0, 1.0, 1.0)"," (512, 512, 1)",176.0700683594,0,255, 6dd717da0ced9e7af8c13722f77243928aae3e35," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (48, 80, 0, 351, 400, 1)",418,240," (207.77272727272728, 272.5980861244019, 0.0)"," (207.77272727272728, 272.5980861244019, 0.0)",418,466.998929335,125.833333333,561.970598898,0.1332662493,0,0.6867963409,7.241558598,466.998929335,0,911.229456917,385.9593509913,278,399,1.9572354113,26.2918660287,3.7435442595,159.8612440191,90.7942583732,0.5716374269,13.7490696438,0.3824431675,4.1913875598,0.3375115142,0.7980357593,122.5980861244,0.0386195557,0.0737252628,4.8462749616,9.6925499232,1.6424035601,-9.3225949533,0.5053955453,0.9998709677,0.3762509674,0.0064516129,0.0432260761,0.0064516129,0.0062851197,0.9991935484,0.9967741935,0.9986404463,24.597235023,1.6359519472,1,1.0096987206,104.7772960586,0.9751580787,-0.9810206629,0.0064516129,0.9967741935,4.0323432696,59.5,-0.7346632979,0.2172111444,191,15074892,22.1090561224,28.9260548064,15074892,230,189.9061213553,224,83,2.4150122428,147,1231.2026968247,138.7,2.766189343,186.6363636364,0.0695538224,1.8790651236,0.0720939645,0.2195467969,2.0291982953,81.8834143272,3.4228492049,24.7721113006,350.366196467,0.9663809638,106.7656711508,0.8947368421,0.2148643333,2.632264299,25.6626326594,0.9236931105,1.6621203977,9.2537624295,0.2221177103,0.7144248858,174.3196721311,54.1967213115,12.1885245902,20.2331525428,0.5837320574,0.7157611474,394.3278688525,23.7213114754,0.8640427417,0.0671117709,3.2121183689,0.0562300815,1.1072847682,0.2312482974,19.1177033493,0.0011148527,0.0267502834
0, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/cxr_nrrd/JPCNN063.nrrd, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/msk_nrrd/JPCNN063.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12, {'distances', {'Original', 448319daacd5dc85a02bdbc418dfe1dffc2c8daa," (1.0, 1.0, 1.0)"," (512, 512, 1)",194.9087028503,0,255, 2e516f1b6d99231a6d864db02e27124466b1e349," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (32, 48, 0, 432, 400, 1)",606,295," (248.68646864686468, 262.09570957095707, 0.0)"," (248.68646864686468, 262.09570957095707, 0.0)",606,518.555686499,196.75,608.6934468791,0.1190686716,0,0.7684526279,6.9831017356,518.555686499,0,1373.92526648,467.7520788566,350,392,2.9400276661,36.2211221122,3.3590153494,222.3795379538,188.1881188119,0.4844151082,16.867803447,0.3669629339,4.9471947195,0.5725921716,0.8140923003,186.7623762376,0.055267458,0.1161746574,5.2509407883,10.5018815766,1.7929716791,-69.1176555331,0.5081148564,0.9999812734,0.3579367077,0.0009363296,0.0088957733,0.0009363296,0.0009328227,0.9998829588,0.9995318352,0.9998306063,31.1976814696,1.7920353496,1,3.2497943314,723.6964331405,0.9847456156,-0.9954310594,0.0009363296,0.9995318352,12.9982409959,36,-1.8568155132,0.3105414502,215,26769454,15.3061917509,27.6546634862,26769454,241,210.1761558828,237,95,1.9251202214,146,1604.657767757,149,5.5814717249,206.3234323432,0.1112091806,2.9120654997,0.1170556854,0.3060630612,3.5792513908,163.2465072244,5.1638028318,34.5839280067,493.2014741018,0.9657542384,218.4678045035,0.8708745875,0.3586240843,2.2077753734,35.7004622608,0.9221889636,2.8410792549,16.4166818846,0.2915449233,0.6539673119,193.5743243243,86.2972972973,20.6081081081,28.5731160917,0.4884488449,1.2890028613,889.2297297297,34.2162162162,0.8299757571,0.1186028375,3.1097729461,0.0929665881,4.3440860215,0.0376651581,140.9702970297,0.0002310253,0.0043172815
1, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/cxr_nrrd/JPCLN058.nrrd, /home/rajarshi/Documents/MTP/project-datasets/JSRT-All247images/msk_nrrd/JPCLN058.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12, {'distances', {'Original', 279780941831fc4713b6b998836b02d07bc6c4ef," (1.0, 1.0, 1.0)"," (512, 512, 1)",185.043800354,0,247, b1b36b1f33b94884b1aee442acaa5c026e0a1952," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (48, 24, 0, 464, 464, 1)",623,330," (281.2776886035313, 252.8940609951846, 0.0)"," (281.2776886035313, 252.8940609951846, 0.0)",623,569.899113879,194.666666667,683.7666994823,0.1173840902,0,0.8181357784,7.1084954336,569.899113879,0,1383.78711107,559.4140009092,359,464,1.0894316065,18.7078651685,3.4581370769,222.3258426966,191.6677367576,0.537988229,10.3904940253,0.3568633109,4.3033707865,0.3312573569,0.7583406548,76.9390048154,0.0424489725,0.0773122882,4.2610699471,8.5221398942,2.0497443819,-5.985180568,0.4944396948,0.9975857876,0.3305326765,0.0893258605,0.3693784622,0.0893258605,0.0746982993,0.9872391628,0.9553370698,0.9609561146,19.2373634464,1.9604185215,1,1.0982978622,46.2374542286,0.9726455997,-0.8513934571,0.0893258605,0.9553370698,4.3038655883,40,-0.5639030996,0.307652868,199,23223984,16.4098,21.2450757351,23223984,229,193.0742419935,220,115,1.9575702094,114,624.1609258777,155,2.4065671967,191.4510433387,0.074581846,1.1021920317,0.0773046845,0.3114597203,1.5855353378,171.6859222989,2.9925529131,18.2186978102,515.156442648,0.9635763855,52.0466515741,0.88964687,0.2310398663,2.2497063563,18.8970304264,0.917605747,1.1634693878,7.1487428571,0.3169795918,0.6409142857,224.32,110.9428571429,10.3171428571,16.0484982878,0.5617977528,0.7979269841,175.46,19.4085714286,0.8238354557,0.0781984127,3.1186851162,0.0656227108,0.1730074979,0.5268292019,2.2940473344,0.0027396086,0.2043004652
